NIF,Razón social,Comunidad,Provincia,Localidad,Último año con cuentas,Tipos de cuentas,Sector Infocif,Estado
B10452969,008024425C TRAMITA CONSULTORIA OUTSOURCING Y PROYECTOS SL,Extremadura,Cáceres,Plasencia,0,Individuales,Construcción y Desarrollo,-
A06584411,03COM OPEN SOURCE SAL,Extremadura,Badajoz,Don Benito,0,,Minoristas (excepto alimentos y medicamentos),-
B06436828,06-BADAJOZ-000 SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06620793,100 FANEGAS SL,Extremadura,Badajoz,"Garrovilla, La",0,Individuales,Inmobiliarias y similares,-
A06661631,1000 ESTILOS FACTORIA CREATIVA SA,Extremadura,Badajoz,Jerez de los Caballeros,0,Individuales,Ropa / textiles,-
B06748214,1024 RETAIL IBERICA SL,Extremadura,Badajoz,Alconchel,0,,Productos electrónicos / eléctricos,-
B10448256,111 PERFUMES SL,Extremadura,Cáceres,Fresnedoso de Ibor,0,Individuales,Productos cosméticos / Higiene /Cuidado Personal,-
B06441851,12FLORES SL,Extremadura,Badajoz,Badajoz,0,,"Agricultura, ganadería y pesca",-
B06648695,14 DE LOS MILLARES SL,Extremadura,Badajoz,Badajoz,0,Individuales,Inmobiliarias y similares,-
B06561757,14 MILIMETROS SL,Extremadura,Badajoz,Badajoz,0,Individuales,Muebles para el hogar / Equipar,-
B06433171,A&SER ROMERO SL,Extremadura,Badajoz,Villanueva de la Serena,0,Individuales,Consultoría empresarial y otros,-
B06507396,A-Z ARCHIVO Y DOCUMENTACION SUROESTE SL,Extremadura,Badajoz,Badajoz,0,,Consultoría empresarial y otros,-
B10335867,A5 VERTICALES SL,Extremadura,Cáceres,Montehermoso,0,,Construcción y Desarrollo,-
A06104178,AA2 ARQUITECTOS ASOCIADOS SA,Extremadura,Badajoz,Badajoz,0,,,-
B06744924,AAPS ASESORES Y CONSULTORES SL,Extremadura,Badajoz,Badajoz,0,,Consultoría empresarial y otros,-
B06628341,AB INTERCONBUSINESS SL,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B10426864,ABACERIA CACEREÑA SL,Extremadura,Cáceres,Cáceres,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B06266498,ABACO INFORMATICA Y FORMACION SL,Extremadura,Badajoz,Montijo,0,,,-
V06605562,ABACO UNION DE ASESORES AIE,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B06621957,ABADEX SERVICIOS SL,Extremadura,Badajoz,Badajoz,0,Individuales,Minoristas de alimentos / medicamentos,-
B10123735,ABALMAR SL,Extremadura,Cáceres,Plasencia,0,Individuales,,-
B06495030,ABAME XXI SL,Extremadura,Badajoz,Mérida,0,,"Agentes, Comerciantes y Casas de inversión",-
B06524250,ABANFINANCE CONSULTING SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agentes, Comerciantes y Casas de inversión",-
B10288553,ABASTECIMIENTO DE MATERIAS PRIMAS Y CEREALES SL,Extremadura,Cáceres,Cáceres,0,,,-
B91509810,ABASTO DIGITAL SLNE,Extremadura,Cáceres,Arroyomolinos,0,,,-
B06634356,ABATIBLES EXTREMEÑOS SL,Extremadura,Badajoz,Mérida,0,,,-
B10476174,ABBAEX COPY SL,Extremadura,Cáceres,Arroyo de la Luz,0,Individuales,Edición y publicación,-
B06375331,ABC FORMACION MONTIJO SL,Extremadura,Badajoz,Montijo,0,Individuales,Inmobiliarias y similares,-
B10498657,ABDECE LEGAL SLP,Extremadura,Cáceres,Cáceres,0,,Consultoría empresarial y otros,-
B06605919,ABEA COSMETICA Y SALUD SL,Extremadura,Badajoz,Mérida,0,,Construcción y Desarrollo,-
B10305068,ABECE JUGUETES SL,Extremadura,Cáceres,Plasencia,0,,,-
A08869877,ABEDUL SA,Extremadura,Badajoz,Don Benito,0,Individuales,,-
B06437552,ABELLANES RESIDENCIA DE MAYORES SLL,Extremadura,Badajoz,Sancti-Spíritus,0,Individuales,,-
A10166932,ABELMAR FRESQUI FRESQUI SAL,Extremadura,Cáceres,Cáceres,0,,,-
B06731392,ABELTRANS 2018 SL,Extremadura,Badajoz,Berlanga,0,Individuales,Transporte terrestre,-
